rhos_412,rhos_469,rhos_555,rhos_645,rhos_859,rhos_1240,rhos_2130,rhot_412,rhot_469,rhot_555,rhot_645,rhot_859,rhot_1240,rhot_2130,label
0.041975886,0.036860101,0.056696355,0.040180795,0.280360758,0.255416244,0.046599716,0.135908008,0.095648363,0.078754902,0.052780703,0.281436592,0.255795658,0.046720054,sargasso
0.040378489,0.034911718,0.053715512,0.037418656,0.282513022,0.258004248,0.050367083,0.134764045,0.094075955,0.076215759,0.050288115,0.283564538,0.258377701,0.050485738,sargasso
0.038401131,0.032887533,0.051019978,0.03654439,0.277877063,0.280266404,0.051513836,0.133282244,0.092404231,0.073901877,0.04949161,0.278977931,0.28058967,0.051631939,sargasso
0.038188539,0.031922694,0.049774989,0.033034656,0.293823957,0.282139987,0.045158334,0.133136004,0.091624185,0.072842069,0.0463221,0.294749141,0.282459259,0.045279328,sargasso
0.047320779,0.041821674,0.061460502,0.043565806,0.272162467,0.250564426,0.043721773,0.139818192,0.099695757,0.082821824,0.055839084,0.273327947,0.250954688,0.043843411,sargasso
0.057329718,0.052055929,0.068046547,0.04846558,0.295207202,0.277406216,0.053200427,0.14714621,0.108049929,0.088443466,0.060264375,0.296114087,0.277735025,0.053317737,sargasso
0.05814711,0.053734891,0.073843218,0.061133925,0.285469562,0.252370507,0.065362647,0.147762105,0.109434783,0.093410373,0.071732819,0.286482215,0.25275591,0.065474562,sargasso
0.041819103,0.036768377,0.05535448,0.039664414,0.294682235,0.278775841,0.061366029,0.135824397,0.095598325,0.077610627,0.052316871,0.295594931,0.279101819,0.061479799,sargasso
0.041819103,0.036768377,0.05535448,0.039664414,0.294682235,0.278775841,0.061366029,0.135824397,0.095598325,0.077610627,0.052316871,0.295594931,0.279101819,0.061479799,sargasso
0.044017263,0.039606977,0.060589693,0.044668809,0.271802634,0.253498167,0.0493965,0.137443081,0.097920462,0.082085751,0.05684229,0.272969633,0.253881127,0.049515639,sargasso
0.097252391,0.094690725,0.109182648,0.098699734,0.26451993,0.236632064,0.067650467,0.17687647,0.143241927,0.123774111,0.105815075,0.265768796,0.237055197,0.067761473,sargasso
0.097252391,0.094690725,0.109182648,0.098699734,0.26451993,0.236632064,0.067650467,0.17687647,0.143241927,0.123774111,0.105815075,0.265768796,0.237055197,0.067761473,sargasso
0.112459764,0.112335652,0.129505247,0.116704166,0.262687206,0.186443806,0.072278343,0.188356027,0.157946035,0.141320497,0.122195229,0.263957739,0.187000141,0.072387382,sargasso
0.083790407,0.084523916,0.115519539,0.106711388,0.208727166,0.192310616,0.086763985,0.166855544,0.134844586,0.129243344,0.113102086,0.21067819,0.192850381,0.086866781,sargasso
0.047259904,0.041345738,0.060112756,0.043675285,0.275807738,0.255557686,0.056090809,0.139802754,0.099332437,0.081667528,0.055939417,0.27692318,0.255934775,0.056206916,sargasso
0.044633709,0.039366417,0.058795344,0.04068407,0.264117509,0.238566324,0.046644278,0.137885168,0.097721525,0.080543779,0.053236794,0.265367925,0.238984093,0.046764672,sargasso
